= World Cup 1930     # 13 Teams

== USA     # 16 Players

   Luis SOUZA,                    FW,  b. 1908/10/06
   Pablo PACHECO,                 FW,  b. 1908/05/23
   Carlos CILLONIZ,               FW,  b. 1910/07/01
   Jorge SARMIENTO,               FW,  b. 1900/11/02

   Jose FLORES,                   ?,             

   Francisco BRU (ESP),           MG,  b. 1885/04/12
   Guillermo RIVERO (PER),        MG,  b. 1890/01/01


== Paraguay     # 22 Players

   Modesto DENIS,                 GK,  b. 1901/01/01
   Pedro BENITEZ,                 GK,  b. 1901/01/12

   Salvador FLORES,               DF,  b. 1906/01/01
   Quiterio OLMEDO,               DF,  b. 1907/12/21
   Eustaquio CHAMORRO,            DF,            
   Jose Leon MIRACCA,             DF,  b. 1903/09/23

   Diego FLORENTIN,               MF,            
   Tranquilino GARCETE,           MF,  b. 1907/01/01
   Santiago BENITEZ,              MF,  b. 1903/01/01
   Romildo ETCHEVERRY,            MF,  b. 1907/01/01
   Eusebio DIAZ,                  MF,  b. 1901/01/01
   Francisco AGUIRRE,             MF,  b. 1908/01/01

   Aurelio GONZALEZ,              FW,  b. 1905/09/25
   Luis VARGAS PENA,              FW,  b. 1905/01/01
   Gerardo ROMERO,                FW,  b. 1906/01/01
   Diogenes DOMINGUEZ,            FW,  b. 1902/01/01
   Delfin BENITEZ CACERES,        FW,  b. 1910/10/24
   Bernabe RIVERA,                FW,            
   Jacinto VILLALBA,              FW,            
   Amadeo ORTEGA,                 FW,            
   Cayetano CARRERAS SAGUEIR,     FW,            
   Lino NESSI,                    FW,  b. 1904/01/01

   Jose DURAND LAGUNA (ARG),      MG,  b. 1889/11/07


== Belgium     # 16 Players

   Arnold BADJOU,                 GK,  b. 1909/06/25
   Jean DE BIE,                   GK,  b. 1892/05/18

   Theodore NOUWENS,              DF,  b. 1908/02/17
   Henri DE DEKEN,                DF,  b. 1907/08/03
   Nikolaas HOYDONCKX,            DF,  b. 1900/12/29

   Jan DIDDENS,                   MF,  b. 1906/09/14
   Auguste HELLEMANS,             MF,  b. 1907/09/14
   Pierre BRAINE,                 MF,  b. 1900/10/26
   Alexis CHANTRAINE,             MF,  b. 1901/03/16
   Jean DE CLERQ,                 MF,  b. 1905/05/17

   Louis VERSYP,                  FW,  b. 1908/12/05
   Bernard VOORHOOF,              FW,  b. 1910/05/11
   Gerard DELBEKE,                FW,  b. 1903/09/01
   Andre SAEYS,                   FW,  b. 1911/02/20
   Jacques MOESCHAL,              FW,  b. 1900/09/06
   Fernand ADAMS,                 FW,  b. 1903/05/03

   Hector GOETINCK (BEL),         MG,  b. 1886/03/05


== Romania     # 15 Players

   Ion LAPUSNEANU,                GK,  b. 1908/12/08
   Samuel ZAUBER,                 GK,  b. 1901/01/01

   Adalbert STEINER,              DF,  b. 1907/01/24
   Emerich VOGL,                  DF,  b. 1905/08/12
   Iosif CZAKO,                   DF,  b. 1906/06/11
   Rudolf BUERGER,                DF,  b. 1908/10/31

   Ladislau RAFFINSKY,            MF,  b. 1905/04/23
   Alfred EISENBEISSER,           MF,  b. 1908/04/07
   Corneliu ROBE,                 MF,  b. 1908/05/23

   Nicolae KOVACS,                FW,  b. 1911/12/29
   Rudolf WETZER,                 FW,  b. 1901/03/17
   Stefan BARBU,                  FW,  b. 1908/03/02
   Adalbert DESU,                 FW,  b. 1909/03/24
   Ilile SUBASEANU,               FW,  b. 1906/01/01
   Constantin STANCIU,            FW,  b. 1911/01/01

   Octav LUCHIDE (ROU),           MG,  b. 1901/02/10
   Constantin RADULESCU (ROU),    MG,  b. 1896/10/05


== Yugoslavia     # 17 Players

